label,,R,G,B,,R,G,B,,R,G,B,,R,G,B,,R,G,B
Kind of Blue,,108,157,173,,160,159,173,,53,62,68,,96,201,225,,225,0,10
Ketan's Edit,,23,64,12,,23,23,28,,102,40,133,,92,181,61,,240,15,58
Ketan's Other Theme He Edited,,51,184,151,,166,176,151,,176,102,89,,122,158,35,,17,163,161
Ketan's Theme 1,,15,68,153,,130,0,183,,109,66,165,,130,145,63,,232,234,20
Ketan's Theme 0,,44,209,55,,209,128,180,,230,231,145,,249,234,153,,224,244,0
Ketan's New Theme,,255,0,255,,255,253,0,,0,0,255,,0,255,0,,134,228,255
Ketan's Green Theme,,107,255,50,,211,255,136,,161,255,200,,0,255,0,,83,255,136
alex test,,255,0,255,,255,254,0,,0,0,255,,0,255,0,,255,0,0
Latest THeme,,255,0,255,,255,254,0,,0,0,255,,0,255,0,,244,255,244
Evelyn Sandbox,,172,128,255,,255,205,78,,98,153,255,,121,255,109,,255,115,184
Tonys Theme,,228,106,255,,255,253,110,,0,153,255,,218,229,255,,83,71,255
TIM THEME,,0,0,91,,0,0,148,,0,153,0,,0,0,30,,125,0,0
Upholstery,,123,35,34,,161,55,121,,52,30,72,,35,34,123,,66,119,174
Sunset,,204,21,201,,255,116,218,,92,152,153,,21,201,204,,52,255,156
Sunset Groovey,,30,97,98,,96,62,149,,72,31,22,,225,61,25,,149,53,32
kuler triad,,81,144,205,,142,211,201,,255,244,83,,255,209,138,,238,24,74
from the earth,,206,125,32,,168,102,26,,104,63,16,,40,24,6,,232,141,37
rainforest,,25,65,6,,10,27,2,,86,218,21,,61,154,15,,36,91,9
chinese brush painting,,108,72,8,,78,47,0,,6,4,0,,158,105,16,,134,90,11
Sanborn again,,93,219,0,,6,68,227,,105,0,185,,242,177,0,,212,11,33
redrum,,228,0,0,,62,0,0,,127,0,0,,190,0,0,,255,0,0
NewBlueAndBrown,,115,57,117,,127,66,75,,88,127,66,,61,117,90,,104,93,59
Arlo's Bitchin' Easter,,115,96,255,,162,87,232,,232,87,186,,255,100,145,,242,109,255
yo,,125,150,155,,68,98,116,,189,206,87,,149,155,112,,104,97,85
library,,30,94,80,,37,55,55,,145,139,119,,94,80,30,,43,25,18
new test,,168,255,12,,98,232,11,,11,232,34,,12,255,98,,58,255,25
Davie 2,,115,117,98,,121,126,136,,111,126,127,,117,92,101,,104,94,87
HAM Theme,,117,91,18,,42,127,6,,6,51,127,,72,5,117,,0,105,70
Davie Loops Them,,208,224,224,,82,147,70,,66,71,71,,127,144,147,,71,34,31
Taco Love,,176,155,21,,107,16,18,,123,226,235,,128,176,0,,235,145,21
jenAnn,,190,235,16,,126,158,0,,86,43,255,,36,5,158,,61,16,235
Nicole,,122,23,27,,83,65,60,,154,155,173,,95,96,122,,33,53,71
purple passion,,171,235,99,,97,158,26,,152,62,255,,74,2,158,,122,27,235
easter egg,,230,38,107,,251,169,48,,46,168,238,,161,104,229,,113,145,33
everlasting green,,241,255,12,,164,231,11,,54,231,11,,12,255,26,,113,255,0
boom boom bam,,187,99,38,,70,105,67,,46,83,83,,46,146,104,,12,37,38
poodles and oodles,,185,84,255,,206,77,231,,231,77,179,,255,84,154,,255,97,240
summer breeze,,220,255,138,,71,238,110,,0,250,237,,16,58,177,,12,242,4
Gnarly Brown,,89,25,11,,78,75,33,,92,97,86,,209,200,134,,82,44,23
camo3,,51,48,42,,58,60,41,,44,60,41,,34,51,37,,33,38,27
The purpetrator,,40,24,56,,64,53,93,,99,83,156,,118,134,187,,58,35,81
Jika,,51,38,0,,0,173,116,,56,0,0,,4,140,121,,0,0,0
urban jungle,,140,147,34,,188,202,42,,249,242,152,,83,87,45,,174,141,45
hot heathers,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
earth groove,,154,166,174,,94,105,113,,250,174,124,,114,47,4,,174,97,47
Blues,,29,46,66,,47,72,104,,75,117,168,,91,140,201,,41,64,91
mood of Nov 4,,204,137,153,,206,230,232,,120,102,153,,203,133,204,,142,153,255
kelly miller,,83,229,96,,23,63,26,,46,127,53,,69,191,80,,92,255,107
Dolores,,255,250,228,,38,57,61,,64,98,124,,208,168,37,,232,229,149
Bugeye,,225,44,151,,237,43,81,,237,162,59,,227,222,131,,214,81,49
